Agency,State,Population,Violent Crime rate,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Vehicular,Year
Fort Collins Police Dept,CO,124315.0,350.7,0.0,79.6,28.2,242.9,3969.8,593.7,3209.6,166.5,2002
Fort Lauderdale Police Dept,FL,159365.0,882.9,7.5,24.5,419.8,431.1,6446.8,1557.4,4027.2,862.2,2002
Fort Wayne Police Dept,IN,208386.0,406.0,11.5,54.2,217.9,122.4,5425.5,974.2,3967.6,483.7,2002
City Of Fort Worth Police Dept,TX,558493.0,759.7,9.5,57.5,295.1,397.7,7261.3,1743.3,4813.1,704.9,2002
Fremont Police Dept,CA,210886.0,184.9,1.4,15.2,63.5,104.8,2519.8,482.7,1747.9,289.3,2002
Fresno Police Dept,CA,443363.0,852.6,9.5,35.6,333.6,473.9,6795.6,1009.6,4167.7,1618.3,2002
Fullerton Police Dept,CA,130632.0,276.3,0.8,25.3,94.9,155.4,3378.2,595.6,2338.6,444.0,2002
Garden Grove Police Dept,CA,171266.0,462.4,3.5,10.5,127.3,321.1,2708.1,495.1,1678.7,534.3,2002
Garland Police Dept,TX,225371.0,278.7,4.9,19.5,126.9,127.3,4040.4,828.9,2817.1,394.5,2002
Gilbert Police Dept,AZ,116663.0,157.7,4.3,19.7,37.7,96.0,4371.6,1181.2,2784.9,405.4,2002
Glendale Police Dept,AZ,232707.0,581.4,7.3,27.9,174.0,372.1,6068.6,1047.7,3390.1,1630.8,2002
Glendale Police Dept,CA,202136.0,244.9,4.5,10.4,92.0,138.0,1998.7,451.7,1183.4,363.6,2002
Grand Prairie Police Dept,TX,133099.0,392.9,2.3,51.1,145.0,194.6,5560.5,970.0,3609.3,981.2,2002
Grand Rapids Police Dept,MI,200029.0,1089.3,4.0,37.5,254.0,793.9,4555.8,1154.3,3061.6,340.0,2002
Green Bay Police Dept,WI,103791.0,374.8,1.0,60.7,70.3,242.8,3249.8,611.8,2377.9,260.1,2002
Greensboro Police Dept,NC,231424.0,708.2,12.1,44.5,303.3,348.3,5828.7,1273.0,4058.4,497.4,2002
Hampton Police Dept,VA,150885.0,403.6,6.0,27.2,192.2,178.3,3728.7,634.9,2517.1,576.6,2002
Hartford Police Dept,CT,123540.0,1252.2,20.2,46.1,721.2,464.6,7546.5,1272.5,4509.5,1764.6,2002
Hayward Police Dept,CA,145174.0,413.3,6.2,28.9,223.2,155.0,3380.8,544.9,1898.4,937.5,2002
Henderson Police Dept,NV,190761.0,238.0,2.1,54.5,104.8,76.5,2792.5,770.6,1418.0,603.9,2002
Hialeah Police Dept,FL,236772.0,633.5,3.8,20.3,182.0,427.4,4526.3,679.6,2968.7,878.1,2002
Hollywood Police Dept,FL,145729.0,702.0,7.5,30.2,269.0,395.3,5591.2,826.9,4060.3,704.0,2002
Honolulu Police Dept,HI,900433.0,288.9,2.0,33.8,119.1,134.0,6071.5,992.0,4136.9,942.7,2002
Houston Police Dept,TX,2040583.0,1223.1,12.5,43.7,549.5,617.4,6090.9,1318.5,3599.2,1173.1,2002
Huntington Beach Police Dept,CA,196559.0,172.5,1.5,18.3,42.7,109.9,2058.4,435.5,1381.3,241.7,2002
Huntsville Police Dept,AL,159618.0,602.1,3.1,51.4,197.3,350.2,5767.5,1073.8,4208.8,484.9,2002
Independence Police Dept,MO,114854.0,567.7,5.2,28.7,108.0,425.8,6818.2,1053.5,5078.6,686.1,2002
Indianapolis Police Dept,IN,804034.0,935.0,13.9,54.8,365.3,501.0,5097.4,1201.7,3087.1,808.7,2002
Inglewood Police Dept,CA,116716.0,792.5,24.0,52.3,434.4,281.9,2726.3,591.2,1304.0,831.1,2002
Irvine Police Department,CA,148328.0,108.5,0.7,13.5,41.8,52.6,2334.7,584.5,1576.9,173.3,2002
Irving Police Dept,TX,200144.0,401.2,2.5,23.5,124.9,250.3,5000.9,816.4,3536.0,648.5,2002
Jackson Police Dept,MS,186012.0,968.8,26.3,97.8,577.4,267.2,8518.8,2353.1,4660.5,1505.3,2002
Jacksonville,FL,769253.0,915.6,11.7,36.0,262.1,605.8,5717.0,1192.5,3820.7,703.8,2002
Jersey City Police Dept,NJ,245075.0,1186.2,8.6,35.1,563.5,579.0,3784.6,932.4,1915.3,936.9,2002
Joliet,IL,107772.0,,6.5,,171.7,376.7,3865.6,789.6,2806.9,269.1,2002
Kansas City Police Dept,MO,447650.0,1352.4,18.5,67.0,449.2,817.6,8687.1,1782.2,5397.3,1507.7,2002
Knoxville Police Dept,TN,177191.0,1116.3,12.4,45.7,314.4,743.8,5682.6,1209.4,3786.3,686.8,2002
Lafayette Police Dept,LA,110594.0,943.1,2.7,76.9,154.6,708.9,6680.3,1257.8,4975.9,446.7,2002
Lakewood,CO,151005.0,288.1,0.7,53.6,95.4,138.4,5631.6,844.3,4030.3,756.9,2002
Lancaster,CA,123079.0,1106.6,9.7,46.3,254.3,796.2,3055.8,957.9,1538.0,559.8,2002
Lansing City Police Dept,MI,120471.0,1072.5,9.1,140.3,203.4,719.7,4406.9,884.0,3185.0,337.8,2002
Laredo,TX,184435.0,600.2,3.8,31.4,110.1,454.9,6422.3,1029.1,4914.5,478.8,2002
Las Vegas Metropolitan Police Department,NV,1153546.0,778.6,11.9,42.8,327.3,396.5,4146.3,965.4,2098.2,1082.7,2002
Lexington-Fayette County Police Department,KY,263807.0,541.7,5.7,44.4,237.3,254.4,4204.6,924.5,3034.0,246.0,2002
Lincoln Police Dept,NE,227943.0,559.4,2.6,43.0,78.5,435.2,6023.4,883.6,4909.1,230.8,2002
Little Rock Police Dept,AR,185646.0,1298.7,22.1,62.5,476.2,738.0,9840.8,2599.6,6426.2,815.0,2002
Long Beach Police Dept,CA,478478.0,757.8,14.0,30.1,314.5,399.2,3276.4,711.6,1782.7,782.1,2002
Los Angeles Police Dept,CA,3830561.0,1349.5,17.1,36.9,448.9,846.6,3636.5,662.4,2083.6,890.5,2002
Louisville Police Dept,KY,259472.0,785.1,13.5,18.9,383.5,369.2,5165.1,1356.2,2971.4,837.5,2002
Lowell Police Dept,MA,106472.0,797.4,6.6,44.1,148.4,598.3,3201.8,591.7,1838.0,772.0,2002
Lubbock Police Dept,TX,208447.0,1206.1,5.3,63.8,145.4,991.6,5688.3,1429.1,3985.2,273.9,2002
Madison City Police Dept,WI,211061.0,357.7,1.4,42.6,126.0,187.6,3834.0,741.0,2794.5,298.5,2002
Manchester Police Dept,NH,110406.0,219.2,0.0,39.9,105.1,74.3,2991.7,558.8,2210.9,221.9,2002
Mcallen Police Dept,TX,111150.0,479.5,3.6,10.8,160.1,305.0,7601.4,966.3,6013.5,621.7,2002
Memphis Police Dept,TN,662441.0,1572.4,22.5,78.0,640.7,831.2,8374.8,2469.7,4513.5,1391.7,2002
Mesa Police Dept,AZ,421547.0,684.9,5.2,30.6,140.0,509.1,7222.9,1175.9,4840.5,1206.5,2002
Mesquite Police Dept,TX,130065.0,343.7,6.9,3.8,103.8,229.1,4638.5,529.7,3481.3,627.4,2002
Miami Police Dept,FL,379044.0,1906.9,17.1,25.3,713.9,1150.5,7050.4,1572.9,4191.1,1286.4,2002
Milwaukee Police Dept,WI,605600.0,954.8,18.3,53.8,527.9,354.7,6693.0,1143.0,4363.3,1186.8,2002
Minneapolis Police Dept,MN,390415.0,1056.1,12.0,92.7,459.5,491.8,5764.9,1135.5,3750.1,879.3,2002
Mobile Police Dept,AL,256542.0,536.4,15.6,41.7,293.1,185.9,6460.2,1399.4,4495.9,564.8,2002
Modesto Police Dept,CA,195795.0,517.4,2.6,36.3,175.7,302.9,6112.5,929.0,4303.5,880.0,2002
Montgomery Police Dept,AL,203355.0,725.3,14.8,58.0,343.2,309.3,7937.8,1874.6,5232.2,831.1,2002
Moreno Valley,CA,147612.0,842.1,4.7,34.6,188.3,614.4,3833.7,979.6,2091.3,762.8,2002
Naperville Police Dept,IL,130232.0,,0.8,,10.0,47.6,1802.9,256.5,1475.1,71.4,2002
Nashville-Davidson Metro Police Dept,TN,560596.0,1549.1,11.2,71.9,371.0,1094.9,6660.4,1332.2,4474.5,853.7,2002
New Haven Police Dept,CT,125620.0,1373.2,7.2,63.7,538.1,764.2,6155.9,1206.0,3957.2,992.7,2002
New Orleans Police Dept,LA,486157.0,937.1,53.1,33.3,410.2,440.6,5481.8,978.9,2946.6,1556.3,2002
New York City Police Dept,NY,8084693.0,789.6,7.3,20.9,336.8,424.7,2310.4,372.3,1603.7,334.4,2002
Newark Police Dept,NJ,279269.0,1143.3,23.3,31.5,561.1,527.4,5235.5,806.7,2160.3,2268.4,2002
Newport News Police Dept,VA,185622.0,730.0,10.8,60.3,225.7,433.1,4641.7,882.4,3093.4,665.9,2002
Norfolk Police Dept,VA,241523.0,559.0,17.0,49.3,289.8,202.9,5859.1,730.0,4453.0,676.1,2002
North Las Vegas Police Dept,NV,125616.0,1030.1,15.1,45.4,357.4,612.2,4834.6,1214.0,2411.3,1209.2,2002
Norwalk,CA,107093.0,696.6,9.3,20.5,181.2,485.6,2642.6,596.7,1251.2,794.6,2002
Oakland Police Dept,CA,414161.0,1366.9,26.1,60.1,592.0,688.6,5846.5,1026.7,3308.6,1511.2,2002
Oceanside,CA,166945.0,668.5,3.0,44.9,170.7,449.8,3503.0,664.3,2290.6,548.1,2002
Oklahoma City Police Dept,OK,512448.0,822.3,7.4,86.8,228.1,500.0,8920.9,1622.4,6573.5,725.0,2002
Omaha Police Dept,NE,394090.0,717.9,6.6,43.9,253.2,414.1,6585.3,817.1,4691.8,1076.4,2002
Ontario Police Dept,CA,163812.0,639.8,4.3,33.6,238.7,363.2,4424.6,695.3,2679.9,1049.4,2002
Orange Police Dept,CA,133554.0,207.4,0.7,12.7,80.9,113.1,2691.8,470.2,1823.2,398.3,2002
Orlando Police Dept,FL,194454.0,1861.1,7.7,62.2,531.7,1259.4,9006.8,1907.9,5966.4,1132.4,2002
City Of Overland Park Police Dept,KS,150603.0,166.7,0.7,12.0,19.3,134.8,2114.8,213.1,1730.4,171.3,2002
Oxnard Police Dept,CA,176617.0,480.1,5.7,20.4,199.9,254.2,2562.0,516.9,1717.8,327.3,2002
Palmdale,CA,120956.0,954.9,5.8,46.3,202.6,700.3,3488.0,794.5,2084.2,609.3,2002
Pasadena Police Dept,CA,138857.0,473.1,2.2,18.0,183.6,269.3,3042.0,690.6,2018.6,332.7,2002
Pasadena Police Dept,TX,147979.0,418.3,4.7,46.0,104.1,263.6,4436.4,931.9,2974.7,529.8,2002
Paterson Police Dept,NJ,152340.0,764.7,9.8,19.0,428.6,307.2,3726.5,1047.0,1736.2,943.3,2002
Pembroke Pines Police Dept,FL,143711.0,263.0,2.1,13.9,84.2,162.8,3042.9,469.7,2150.8,422.4,2002
Peoria Police Dept,AZ,115245.0,244.7,0.0,29.5,55.5,159.7,4854.9,828.7,2984.1,1042.1,2002
Peoria Police Dept,IL,114585.0,,7.9,,331.6,381.4,7235.7,1606.7,4878.5,750.5,2002
Philadelphia Police Dept,PA,1524226.0,1315.9,18.9,67.9,581.9,647.2,4155.2,737.7,2544.8,872.7,2002
Phoenix Police Dept,AZ,1404938.0,727.6,12.6,29.2,290.0,395.8,7095.9,1199.7,4072.4,1823.9,2002
Pittsburgh,PA,342529.0,1107.6,13.7,43.2,471.8,578.9,4654.5,962.8,2951.0,740.7,2002
Plano Police Dept,TX,231912.0,288.5,2.6,17.2,62.5,206.1,3600.9,571.8,2804.9,224.2,2002
Pomona Police Dept,CA,154964.0,869.9,11.6,49.7,289.1,519.5,3087.2,571.7,1730.1,785.3,2002
Portland Police Dept,OR,544604.0,828.5,3.7,65.0,237.6,522.2,7127.2,1047.0,5129.0,951.1,2002
Providence Police Dept,RI,177162.0,734.9,13.0,61.5,310.5,350.0,7090.7,1233.9,4241.9,1614.9,2002
Provo Police Dept,UT,109079.0,151.3,0.0,33.9,21.1,96.3,3227.9,473.1,2579.8,175.1,2002
Pueblo Police Dept,CO,106995.0,677.6,5.6,25.2,153.3,493.5,5065.7,1069.2,3638.5,358.0,2002
Raleigh Police Dept,NC,285383.0,688.9,6.7,37.1,244.2,400.9,5559.9,1344.2,3746.5,469.2,2002
Rancho Cucamonga,CA,132436.0,210.7,1.5,21.9,74.8,112.5,2784.0,561.8,1791.1,431.2,2002
Reno Police Dept,NV,196307.0,756.0,4.6,64.2,229.2,458.0,5166.4,656.1,3946.9,563.4,2002
Richmond Police Dept,CA,102861.0,1164.7,28.2,36.9,457.9,641.6,6455.3,1021.8,3435.7,1997.8,2002
Richmond (City) Bureau Of Police,VA,203799.0,1303.7,41.2,59.4,633.0,570.2,7643.3,1473.0,4934.8,1235.5,2002
Riverside Police Dept,CA,264540.0,765.9,7.6,35.5,232.9,489.9,4965.2,954.5,3077.0,933.7,2002
Rochester Police Dept,NY,221871.0,805.0,18.9,48.2,438.1,299.7,6817.0,1111.9,4440.9,1264.2,2002
Rockford Police Dept,IL,152307.0,,13.1,,340.1,414.3,8171.7,2123.3,5262.4,785.9,2002
Sacramento Police Dept,CA,421971.0,840.6,11.1,43.8,410.9,374.7,6453.8,1189.4,3684.6,1579.7,2002
Salem Police Dept,OR,140931.0,244.1,4.3,56.1,110.7,73.1,8546.7,1004.0,6582.7,960.0,2002
Salinas Police Dept,CA,156609.0,726.7,12.8,37.7,234.3,441.9,3637.1,483.4,2562.4,591.3,2002
Salt Lake City Police Dept,UT,188504.0,656.7,5.8,58.4,253.6,339.0,9485.2,1335.3,7098.0,1052.0,2002
San Antonio Police Dept,TX,1195592.0,817.1,8.4,38.8,176.8,593.1,7056.2,1118.1,5457.6,480.4,2002
San Bernardino Police Dept,CA,192212.0,1292.3,21.9,53.1,460.9,756.5,5863.8,1217.4,3239.1,1407.3,2002
San Diego Police Dept,CA,1268346.0,567.1,3.7,26.0,128.3,409.1,3384.8,602.3,1937.7,844.8,2002
San Francisco Police Dept,CA,805269.0,752.4,8.4,26.1,398.4,319.5,4546.6,738.5,3038.5,769.6,2002
San Jose Police Dept,CA,927821.0,445.6,2.8,40.8,89.1,312.8,2156.1,326.1,1470.3,359.7,2002
Santa Ana Police Dept,CA,350393.0,550.8,6.6,18.8,248.6,276.8,2884.8,349.6,1850.8,684.4,2002
Santa Clara Police Dept,CA,106121.0,293.1,3.8,17.9,58.4,213.0,2748.7,392.9,2061.8,294.0,2002
Santa Clarita,CA,156639.0,194.7,3.8,15.3,57.5,118.1,1845.0,390.1,1177.2,277.7,2002
Santa Rosa Police Dept,CA,153018.0,408.4,3.9,60.8,109.1,234.6,3859.7,636.5,2753.3,469.9,2002
Savannah Police Dept,GA,137516.0,864.6,23.3,42.2,472.7,326.5,7567.1,1443.5,5006.0,1117.7,2002
Scottsdale Police Dept,AZ,215578.0,224.0,0.5,29.2,79.3,115.0,4476.8,1292.3,2545.3,639.2,2002
Seattle Police Dept,WA,580089.0,705.4,4.5,26.2,271.7,403.0,7298.9,1256.7,4610.0,1432.2,2002
Shreveport Police Dept,LA,200757.0,1018.1,19.9,59.3,332.2,606.7,7145.5,1668.7,4655.4,821.4,2002
Simi Valley Police Dept,CA,115442.0,119.5,0.0,6.1,22.5,91.0,1401.6,307.5,952.9,141.2,2002
Sioux Falls Police Dept,SD,124997.0,316.8,0.8,92.0,41.6,182.4,3034.5,521.6,2356.9,156.0,2002
South Bend Police Dept,IN,109182.0,751.0,18.3,85.2,324.2,323.3,6762.1,1672.4,4563.9,525.7,2002
Spokane Police Dept,WA,201433.0,646.4,9.9,41.2,188.2,407.1,7244.6,1320.5,5087.5,836.5,2002
Springfield Police Dept,IL,113081.0,,4.4,,303.3,794.1,7333.7,1556.4,5461.6,315.7,2002
Springfield Police Dept,MA,153967.0,2015.4,7.8,69.5,380.6,1557.5,7273.6,2473.3,3326.0,1474.3,2002
Springfield Police Dept,MO,153675.0,690.4,2.6,66.4,144.5,477.0,7161.2,1224.7,5434.8,501.7,2002
St. Louis Police Dept,MO,353004.0,2124.3,31.4,38.5,798.3,1256.1,12161.3,1999.7,7375.6,2786.1,2002
St. Paul Police Dept,MN,293002.0,805.1,4.4,65.5,332.1,403.1,5271.0,1103.1,3426.9,741.0,2002
St. Petersburg Police Dept,FL,259582.0,1703.9,8.9,47.8,395.6,1251.6,6352.9,1397.6,4064.2,891.0,2002
Stamford Police Dept,CT,118971.0,235.4,1.7,11.8,123.6,98.3,1780.3,209.3,1320.5,250.5,2002
Sterling Heights Police Dept,MI,125873.0,193.1,0.8,22.2,27.8,142.2,2470.7,312.2,1965.5,193.1,2002
Stockton Police Dept,CA,252727.0,1461.3,14.2,55.8,463.3,927.9,6893.2,1173.2,4353.7,1366.3,2002
Sunnyvale Dept Of Public Safety,CA,136601.0,140.6,1.5,17.6,51.2,70.3,1740.1,235.7,1344.8,159.6,2002
Syracuse Police Dept,NY,148712.0,1021.4,15.5,28.9,370.5,606.5,5562.4,1297.8,3402.5,862.1,2002
Tacoma Police Dept,WA,199299.0,1094.8,9.5,85.8,358.8,640.7,9031.7,1521.3,5884.6,1625.7,2002
Tallahassee Police Dept,FL,157511.0,1026.6,5.7,95.9,243.8,681.2,6515.7,1436.1,4563.5,516.2,2002
Tampa Police Dept,FL,317322.0,1981.9,11.7,64.3,735.5,1170.4,9167.7,1980.0,5069.9,2117.7,2002
Tempe Police Dept,AZ,168699.0,735.0,5.9,44.5,203.9,480.7,9827.6,1398.9,6522.9,1905.8,2002
Thousand Oaks,CA,121304.0,130.3,0.0,14.8,28.9,86.6,1543.2,300.1,1120.3,122.8,2002
Toledo Police Dept,OH,315501.0,1008.9,8.9,58.6,436.8,504.6,7459.2,1841.8,4599.0,1018.4,2002
Topeka Police Dept,KS,123627.0,800.0,6.5,59.0,330.8,403.6,8335.6,1429.3,6360.3,546.0,2002
Torrance Police Dept,CA,143014.0,338.4,1.4,16.1,147.5,173.4,2836.8,495.1,1896.3,445.4,2002
Tucson Police Dept,AZ,517607.0,909.8,9.1,65.3,260.8,574.6,8783.1,1297.7,6286.4,1199.0,2002
Tulsa Police Dept,OK,397953.0,1086.3,6.5,61.1,226.4,792.3,6482.2,1586.4,4000.0,895.8,2002
Vallejo Police Dept,CA,121049.0,893.9,5.8,37.2,269.3,581.6,4985.6,986.4,3112.8,886.4,2002
Vancouver Police Dept,WA,147819.0,359.9,0.7,67.7,104.9,186.7,4898.6,809.1,3510.4,579.1,2002
Ventura Police Dept,CA,104623.0,273.4,1.9,28.7,86.0,156.8,3213.4,593.6,2368.5,251.4,2002
Virginia Beach Police Dept,VA,438175.0,219.1,0.7,31.5,101.1,85.8,3452.3,522.6,2736.6,193.1,2002
City Of Waco Police Dept,TX,118788.0,795.5,11.8,48.8,233.2,501.7,8465.5,1849.5,6013.2,602.8,2002
Warren Police Dept,MI,139805.0,611.6,3.6,48.6,146.6,412.7,3223.1,622.3,1777.5,823.3,2002
Washington Metropolitan Police Dept,DC,570898.0,1595.6,45.9,45.9,653.5,850.2,6172.4,905.1,3661.4,1605.9,2002
Waterbury Police Dept,CT,109002.0,534.9,3.7,44.0,259.6,227.5,5450.4,1143.1,3601.8,705.5,2002
West Covina Police Dept,CA,108940.0,332.3,1.8,22.9,124.8,182.7,3557.9,488.3,2361.9,707.7,2002
West Valley Police Dept,UT,112948.0,392.2,2.7,54.0,88.5,247.0,5813.3,790.6,4371.9,650.7,2002
Wichita Police Dept,KS,347801.0,680.8,5.8,59.8,228.9,386.4,6249.6,1282.1,4463.2,504.3,2002
Wichita Falls Police Dept,TX,108834.0,917.0,10.1,28.5,226.0,652.4,6922.5,1585.9,4894.6,442.0,2002
Winston-Salem Police Dept,NC,192027.0,840.5,7.8,60.4,285.9,486.4,6798.5,1724.2,4560.3,514.0,2002
Worcester Police Dept,MA,174788.0,763.2,6.3,24.6,203.7,528.6,4040.9,775.8,2519.6,745.5,2002
Yonkers Police Dept,NY,197957.0,451.1,6.6,5.6,211.7,227.3,1911.0,376.8,1124.0,410.2,2002
Abilene Police Dept,TX,117016.0,441.8,5.1,60.7,110.2,265.8,5218.9,1550.2,3410.6,258.1,2003
Akron City Police Dept,OH,214622.0,607.1,7.5,100.6,290.7,208.3,5756.6,1495.2,3691.1,570.3,2003
Albuquerque Police Dept,NM,468764.0,947.0,10.9,56.1,230.4,649.6,6249.2,1182.5,4194.6,872.1,2003
Alexandria Police Dept,VA,132468.0,306.5,2.3,18.9,127.6,157.8,3250.6,323.9,2464.0,462.8,2003
Allentown City Police Dept,PA,106366.0,602.6,11.3,47.9,337.5,205.9,5315.6,1044.5,3620.5,650.6,2003
Amarillo Police Dept,TX,179762.0,832.2,9.5,51.7,209.7,561.3,6459.7,1224.4,4736.3,499.0,2003
Amherst Town Police Dept,NY,111945.0,107.2,0.9,4.5,35.7,66.1,1766.0,157.2,1549.9,59.0,2003
Anaheim Police Dept,CA,336132.0,392.4,2.7,22.6,122.0,245.1,3107.7,586.4,1995.6,525.7,2003
Anchorage Police Dept,AK,271085.0,643.3,6.3,90.0,125.4,421.6,4318.2,523.1,3353.6,441.6,2003
Ann Arbor Police Dept,MI,115552.0,258.8,0.9,19.9,79.6,158.4,2881.8,652.5,2039.8,189.5,2003
Antioch Police Dept,CA,100918.0,707.5,5.9,14.9,221.0,465.7,2869.7,620.3,1341.7,907.7,2003
Arlington Police Dept,TX,355385.0,524.2,2.5,47.0,168.3,306.4,5605.5,1014.7,4124.0,466.8,2003
Arvada Police Dept,CO,103191.0,172.5,2.9,17.4,47.5,104.7,3615.6,567.9,2661.1,386.7,2003
Athens-Clarke County Police Department,GA,104313.0,371.0,8.6,49.8,133.3,179.3,5832.4,1031.5,4421.3,379.6,2003
Atlanta Police Dept,GA,431043.0,1969.6,34.3,65.2,858.6,1011.5,8869.4,1871.0,5319.9,1678.5,2003
Aurora Police Dept,CO,288830.0,588.6,6.2,78.6,198.0,305.7,5295.2,809.5,3565.4,920.3,2003
Aurora Police Dept,IL,157633.0,,8.2,,136.4,301.3,3192.2,597.6,2372.0,222.7,2003
Austin Police Dept,TX,682319.0,462.1,4.0,33.1,183.3,241.7,6195.0,1061.1,4727.8,406.1,2003
Bakersfield Police Dept,CA,263707.0,574.1,9.1,15.5,166.5,383.0,5347.6,1021.2,3570.3,756.1,2003
Baltimore City Police Dept,MD,644554.0,1735.0,41.9,31.6,673.2,988.3,5813.3,1208.4,3541.1,1063.8,2003
Baton Rouge Police Dept,LA,226391.0,1254.0,18.1,51.7,458.9,725.3,7021.9,1716.9,4595.1,709.8,2003
Beaumont Police Dept,TX,114626.0,916.9,5.2,74.2,288.8,548.7,7702.4,1505.8,5769.2,427.5,2003
Bellevue Police Dept,WA,114056.0,143.8,0.0,24.5,59.6,59.6,3786.7,454.2,2817.0,515.5,2003
Berkeley Police Dept,CA,104727.0,884.2,5.7,15.3,383.9,479.3,8302.5,1188.8,5936.4,1177.3,2003
Birmingham Police Dept,AL,240176.0,1393.6,35.4,84.9,562.9,710.3,8149.9,2011.4,4968.9,1169.6,2003
Boise Police Dept,ID,193414.0,333.5,1.6,60.5,40.3,231.1,4242.7,741.9,3251.1,249.7,2003
Boston Police Dept,MA,589795.0,1216.2,6.6,44.4,467.8,697.4,4726.4,736.5,2894.1,1095.8,2003
Bridgeport Police Dept,CT,141030.0,968.6,11.3,34.7,311.3,611.2,4538.8,881.4,2803.7,853.7,2003
Brownsville Police Dept,TX,152764.0,495.5,5.2,27.5,107.4,355.5,6277.7,670.3,5316.0,291.3,2003
Buffalo Police Dept,NY,288187.0,1361.6,22.6,71.5,573.9,693.6,5728.9,1433.4,3418.3,877.2,2003
Burbank Police Dept,CA,103993.0,272.1,2.9,14.4,66.4,188.5,2590.6,480.8,1661.7,448.1,2003
Cambridge Police Dept,MA,101896.0,503.5,2.9,6.9,224.7,268.9,3385.8,638.9,2344.5,402.4,2003
Cape Coral Police Dept,FL,114966.0,271.4,0.9,9.6,28.7,232.2,3273.1,908.1,2212.8,152.2,2003
Carrollton Police Dept,TX,116897.0,203.6,1.7,12.8,65.9,123.2,3455.2,691.2,2345.7,418.3,2003
Cedar Rapids Police Dept,IA,122819.0,324.1,3.3,37.5,81.4,201.9,5307.0,907.0,4154.9,245.1,2003
Centennial,CO,100421.0,183.2,1.0,27.9,21.9,132.4,2308.3,413.3,1685.9,209.1,2003
Chandler Police Dept,AZ,206620.0,302.0,2.4,28.1,63.4,208.1,5000.5,880.4,3390.8,729.4,2003
Charlotte-Mecklenburg Police Department,NC,668003.0,1076.9,9.9,45.8,402.4,618.9,6666.7,1656.6,3986.2,1023.9,2003
Chattanooga Police Dept,TN,156596.0,1302.7,12.1,59.4,307.2,924.0,8532.8,1563.9,6036.6,932.3,2003
Chesapeake Police Dept,VA,209294.0,599.6,2.4,33.4,146.7,417.1,3144.9,593.4,2266.7,284.8,2003
Chicago Police Dept,IL,2898374.0,,20.6,,597.0,682.6,4989.8,864.8,3339.1,785.9,2003
Chula Vista Police Dept,CA,195954.0,396.0,3.6,24.5,127.1,240.9,3626.4,512.4,2017.8,1096.2,2003
Cincinnati Police Dept,OH,324297.0,1127.4,22.2,98.4,673.5,333.3,7475.2,1828.9,4581.0,1065.4,2003
Clarksville Police Dept,TN,106710.0,641.0,1.9,43.1,98.4,497.6,5146.7,999.0,3938.7,209.0,2003
Clearwater Police Dept,FL,110296.0,1053.5,3.6,48.1,229.4,772.5,5051.9,956.5,3660.2,435.2,2003
Cleveland,OH,468446.0,1323.5,15.6,137.9,676.1,494.0,5566.9,1718.0,2739.3,1109.6,2003
Colorado Springs,CO,374818.0,462.4,4.5,64.0,113.1,280.7,4945.3,897.5,3563.1,484.8,2003
Columbia Police Dept,SC,118536.0,1138.9,12.7,53.1,387.2,685.9,6898.3,1185.3,5017.9,695.1,2003
Columbus Police Dept,GA,188116.0,444.9,10.1,11.7,176.0,247.2,6898.9,1171.6,5079.3,648.0,2003
Columbus Police Dept,OH,726151.0,855.9,15.0,84.7,458.9,297.3,7758.4,2017.5,4591.7,1149.2,2003
Concord Police Dept,CA,126539.0,314.5,3.2,17.4,107.5,186.5,4151.3,697.0,2653.7,800.5,2003
Coral Springs Police Dept,FL,127974.0,226.6,1.6,18.8,54.7,151.6,2767.0,437.6,2105.9,223.5,2003
Corona Police Dept,CA,139777.0,200.3,4.3,23.6,89.4,83.0,2881.7,481.5,1822.2,578.1,2003
Corpus Christi Police Dept,TX,282850.0,870.4,7.4,80.6,209.3,573.1,7106.6,1328.3,5325.8,452.5,2003
Costa Mesa Police Dept,CA,111281.0,273.2,0.9,37.7,100.6,133.9,3222.5,463.7,2394.8,363.9,2003
Dallas Police Dept,TX,1230302.0,1370.8,18.4,48.8,647.2,656.3,7957.4,1782.2,4759.3,1415.8,2003
Daly City Police Dept,CA,102970.0,334.1,0.0,23.3,149.6,161.2,2109.4,235.0,1447.0,427.3,2003
Dayton,OH,162876.0,1017.3,18.4,107.4,583.9,307.6,8146.1,2346.0,4237.6,1562.5,2003
Denver Police Dept,CO,565905.0,624.0,11.1,53.7,251.1,308.0,5135.8,1254.1,2622.2,1259.6,2003
Des Moines Police Dept,IA,198568.0,352.0,4.0,46.3,143.0,158.6,6109.2,769.0,4888.5,451.7,2003
Detroit Police Dept,MI,927766.0,2018.2,39.4,87.7,627.0,1264.0,6985.5,1519.8,2732.7,2733.0,2003
Downey Police Dept,CA,110992.0,455.0,6.3,22.5,194.6,231.5,3221.9,529.8,1638.9,1053.2,2003
Durham Police Dept,NC,197965.0,840.0,11.1,38.4,446.0,344.5,6880.5,1782.1,4559.9,538.5,2003
Edison Twp Police Dept,NJ,100484.0,283.6,1.0,10.9,114.4,157.2,2620.3,462.8,1746.5,411.0,2003
El Monte Police Dept,CA,121176.0,602.4,2.5,19.8,179.1,401.1,2634.2,537.2,1308.8,788.1,2003
El Paso Police Dept,TX,586392.0,597.2,3.6,37.3,99.1,457.2,3714.2,372.6,3024.4,317.2,2003
