Agency,State,Population,Violent Crime rate,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Vehicular,Year
Lansing City Police Dept,MI,128161.0,830.2,4.7,58.5,163.9,603.1,6876.5,1865.6,4680.1,330.8,1985
Laredo,TX,111268.0,539.2,13.5,35.9,124.0,365.8,6630.8,2157.9,3991.3,481.7,1985
Las Vegas Metropolitan Police Department,NV,456749.0,793.4,12.5,60.9,384.2,335.9,6911.2,2183.9,4057.6,669.7,1985
Lexington-Fayette County Police Department,KY,210364.0,532.9,3.3,45.6,146.4,337.5,5509.5,1409.5,3777.3,322.8,1985
Lincoln Police Dept,NE,182373.0,332.8,3.8,47.2,47.2,234.7,5580.9,1062.7,4374.0,144.2,1985
Little Rock Police Dept,AR,170850.0,1534.7,18.7,98.9,418.5,998.5,9272.5,2827.0,5947.3,498.1,1985
Long Beach Police Dept,CA,389728.0,1060.7,16.2,60.3,617.1,367.2,6840.9,2122.2,3646.6,1072.0,1985
Los Angeles Police Dept,CA,3186459.0,1658.0,24.4,72.7,876.8,684.1,7581.2,2007.3,3953.2,1620.6,1985
Louisville Police Dept,KY,290069.0,670.5,10.3,41.0,436.4,182.7,5126.0,1730.3,2990.0,405.8,1985
Lubbock Police Dept,TX,182787.0,832.7,10.9,52.5,153.2,616.0,8784.5,3106.9,5285.9,391.7,1985
Madison City Police Dept,WI,171053.0,260.2,2.3,36.8,119.8,101.1,6964.5,1456.9,5200.7,306.9,1985
Memphis Police Dept,TN,654626.0,1487.6,18.6,137.9,766.2,564.7,7672.6,2427.0,3451.7,1793.8,1985
Mesa Police Dept,AZ,202450.0,553.7,4.0,34.6,77.1,438.1,6439.6,1477.4,4644.1,318.1,1985
Milwaukee Police Dept,WI,621931.0,652.2,10.9,62.7,335.4,243.1,6413.4,1251.3,4365.6,796.6,1985
Minneapolis Police Dept,MN,361021.0,1422.4,8.0,116.1,644.3,654.0,9097.0,3042.2,5110.0,944.8,1985
Mobile Police Dept,AL,206505.0,1054.2,12.6,61.0,351.6,629.0,7036.1,2981.5,3622.2,432.4,1985
Modesto Police Dept,CA,125776.0,442.9,4.0,44.5,159.0,235.3,7341.6,1683.2,5229.1,429.3,1985
Montgomery Police Dept,AL,186391.0,292.9,11.8,37.6,133.1,110.5,5219.7,1328.4,3683.1,208.2,1985
Miami Police Dept,FL,385892.0,2898.7,33.9,73.6,1494.7,1296.5,12223.4,3055.0,7280.0,1888.4,1985
Nashville-Davidson Metro Police Dept,TN,481286.0,701.5,16.8,72.3,329.9,282.4,5918.9,1784.2,3690.9,443.8,1985
